day,day_label,week,week_label,mnth,mnth_label,qrtr,qrtr_label,ssn,ssn_label,year,year_label,woy,woy_label
20100209,2010年02月09日,W06_2010,02/08/2010,M02_2010,2010年02月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W06,06周
20100210,2010年02月10日,W06_2010,02/08/2010,M02_2010,2010年02月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W06,06周
20100211,2010年02月11日,W06_2010,02/08/2010,M02_2010,2010年02月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W06,06周
20100212,2010年02月12日,W06_2010,02/08/2010,M02_2010,2010年02月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W06,06周
20100213,2010年02月13日,W06_2010,02/08/2010,M02_2010,2010年02月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W06,06周
20100214,2010年02月14日,W06_2010,02/08/2010,M02_2010,2010年02月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W06,06周
20100215,2010年02月15日,W07_2010,02/15/2010,M02_2010,2010年02月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W07,07周
20100216,2010年02月16日,W07_2010,02/15/2010,M02_2010,2010年02月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W07,07周
20100217,2010年02月17日,W07_2010,02/15/2010,M02_2010,2010年02月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W07,07周
20100218,2010年02月18日,W07_2010,02/15/2010,M02_2010,2010年02月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W07,07周
20100219,2010年02月19日,W07_2010,02/15/2010,M02_2010,2010年02月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W07,07周
20100220,2010年02月20日,W07_2010,02/15/2010,M02_2010,2010年02月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W07,07周
20100221,2010年02月21日,W07_2010,02/15/2010,M02_2010,2010年02月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W07,07周
20100222,2010年02月22日,W08_2010,02/22/2010,M02_2010,2010年02月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W08,08周
20100223,2010年02月23日,W08_2010,02/22/2010,M02_2010,2010年02月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W08,08周
20100224,2010年02月24日,W08_2010,02/22/2010,M02_2010,2010年02月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W08,08周
20100225,2010年02月25日,W08_2010,02/22/2010,M02_2010,2010年02月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W08,08周
20100226,2010年02月26日,W08_2010,02/22/2010,M02_2010,2010年02月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W08,08周
20100227,2010年02月27日,W08_2010,02/22/2010,M02_2010,2010年02月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W08,08周
20100228,2010年02月28日,W08_2010,02/22/2010,M02_2010,2010年02月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W08,08周
20100301,2010年03月01日,W09_2010,03/01/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W09,09周
20100302,2010年03月02日,W09_2010,03/01/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W09,09周
20100303,2010年03月03日,W09_2010,03/01/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W09,09周
20100304,2010年03月04日,W09_2010,03/01/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W09,09周
20100305,2010年03月05日,W09_2010,03/01/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W09,09周
20100306,2010年03月06日,W09_2010,03/01/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W09,09周
20100307,2010年03月07日,W09_2010,03/01/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W09,09周
20100308,2010年03月08日,W10_2010,03/08/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W10,10周
20100309,2010年03月09日,W10_2010,03/08/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W10,10周
20100310,2010年03月10日,W10_2010,03/08/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W10,10周
20100311,2010年03月11日,W10_2010,03/08/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W10,10周
20100312,2010年03月12日,W10_2010,03/08/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W10,10周
20100313,2010年03月13日,W10_2010,03/08/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W10,10周
20100314,2010年03月14日,W10_2010,03/08/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W10,10周
20100315,2010年03月15日,W11_2010,03/15/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W11,11周
20100316,2010年03月16日,W11_2010,03/15/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W11,11周
20100317,2010年03月17日,W11_2010,03/15/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W11,11周
20100318,2010年03月18日,W11_2010,03/15/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W11,11周
20100319,2010年03月19日,W11_2010,03/15/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W11,11周
20100320,2010年03月20日,W11_2010,03/15/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W11,11周
20100321,2010年03月21日,W11_2010,03/15/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W11,11周
20100322,2010年03月22日,W12_2010,03/22/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W12,12周
20100323,2010年03月23日,W12_2010,03/22/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W12,12周
20100324,2010年03月24日,W12_2010,03/22/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W12,12周
20100325,2010年03月25日,W12_2010,03/22/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W12,12周
20100326,2010年03月26日,W12_2010,03/22/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W12,12周
20100327,2010年03月27日,W12_2010,03/22/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W12,12周
20100328,2010年03月28日,W12_2010,03/22/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W12,12周
20100329,2010年03月29日,W13_2010,03/29/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W13,13周
20100330,2010年03月30日,W13_2010,03/29/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W13,13周
20100331,2010年03月31日,W13_2010,03/29/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W13,13周
20100401,2010年04月01日,W13_2010,03/29/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W13,13周
20100402,2010年04月02日,W13_2010,03/29/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W13,13周
20100403,2010年04月03日,W13_2010,03/29/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W13,13周
20100404,2010年04月04日,W13_2010,03/29/2010,M03_2010,2010年03月,Q01_2010,2010年01季度,H01_2010,2010上半年,Y2010,2010年,W13,13周
20100405,2010年04月05日,W14_2010,04/05/2010,M04_2010,2010年04月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W14,14周
20100406,2010年04月06日,W14_2010,04/05/2010,M04_2010,2010年04月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W14,14周
20100407,2010年04月07日,W14_2010,04/05/2010,M04_2010,2010年04月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W14,14周
20100408,2010年04月08日,W14_2010,04/05/2010,M04_2010,2010年04月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W14,14周
20100409,2010年04月09日,W14_2010,04/05/2010,M04_2010,2010年04月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W14,14周
20100410,2010年04月10日,W14_2010,04/05/2010,M04_2010,2010年04月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W14,14周
20100411,2010年04月11日,W14_2010,04/05/2010,M04_2010,2010年04月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W14,14周
20100412,2010年04月12日,W15_2010,04/12/2010,M04_2010,2010年04月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W15,15周
20100413,2010年04月13日,W15_2010,04/12/2010,M04_2010,2010年04月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W15,15周
20100414,2010年04月14日,W15_2010,04/12/2010,M04_2010,2010年04月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W15,15周
20100415,2010年04月15日,W15_2010,04/12/2010,M04_2010,2010年04月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W15,15周
20100416,2010年04月16日,W15_2010,04/12/2010,M04_2010,2010年04月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W15,15周
20100417,2010年04月17日,W15_2010,04/12/2010,M04_2010,2010年04月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W15,15周
20100418,2010年04月18日,W15_2010,04/12/2010,M04_2010,2010年04月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W15,15周
20100419,2010年04月19日,W16_2010,04/19/2010,M04_2010,2010年04月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W16,16周
20100420,2010年04月20日,W16_2010,04/19/2010,M04_2010,2010年04月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W16,16周
20100421,2010年04月21日,W16_2010,04/19/2010,M04_2010,2010年04月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W16,16周
20100422,2010年04月22日,W16_2010,04/19/2010,M04_2010,2010年04月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W16,16周
20100423,2010年04月23日,W16_2010,04/19/2010,M04_2010,2010年04月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W16,16周
20100424,2010年04月24日,W16_2010,04/19/2010,M04_2010,2010年04月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W16,16周
20100425,2010年04月25日,W16_2010,04/19/2010,M04_2010,2010年04月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W16,16周
20100426,2010年04月26日,W17_2010,04/26/2010,M04_2010,2010年04月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W17,17周
20100427,2010年04月27日,W17_2010,04/26/2010,M04_2010,2010年04月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W17,17周
20100428,2010年04月28日,W17_2010,04/26/2010,M04_2010,2010年04月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W17,17周
20100429,2010年04月29日,W17_2010,04/26/2010,M04_2010,2010年04月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W17,17周
20100430,2010年04月30日,W17_2010,04/26/2010,M04_2010,2010年04月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W17,17周
20100501,2010年05月01日,W17_2010,04/26/2010,M04_2010,2010年04月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W17,17周
20100502,2010年05月02日,W17_2010,04/26/2010,M04_2010,2010年04月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W17,17周
20100503,2010年05月03日,W18_2010,05/03/2010,M05_2010,2010年05月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W18,18周
20100504,2010年05月04日,W18_2010,05/03/2010,M05_2010,2010年05月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W18,18周
20100505,2010年05月05日,W18_2010,05/03/2010,M05_2010,2010年05月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W18,18周
20100506,2010年05月06日,W18_2010,05/03/2010,M05_2010,2010年05月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W18,18周
20100507,2010年05月07日,W18_2010,05/03/2010,M05_2010,2010年05月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W18,18周
20100508,2010年05月08日,W18_2010,05/03/2010,M05_2010,2010年05月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W18,18周
20100509,2010年05月09日,W18_2010,05/03/2010,M05_2010,2010年05月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W18,18周
20100510,2010年05月10日,W19_2010,05/10/2010,M05_2010,2010年05月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W19,19周
20100511,2010年05月11日,W19_2010,05/10/2010,M05_2010,2010年05月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W19,19周
20100512,2010年05月12日,W19_2010,05/10/2010,M05_2010,2010年05月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W19,19周
20100513,2010年05月13日,W19_2010,05/10/2010,M05_2010,2010年05月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W19,19周
20100514,2010年05月14日,W19_2010,05/10/2010,M05_2010,2010年05月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W19,19周
20100515,2010年05月15日,W19_2010,05/10/2010,M05_2010,2010年05月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W19,19周
20100516,2010年05月16日,W19_2010,05/10/2010,M05_2010,2010年05月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W19,19周
20100517,2010年05月17日,W20_2010,05/17/2010,M05_2010,2010年05月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W20,20周
20100518,2010年05月18日,W20_2010,05/17/2010,M05_2010,2010年05月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W20,20周
20100519,2010年05月19日,W20_2010,05/17/2010,M05_2010,2010年05月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W20,20周
20100520,2010年05月20日,W20_2010,05/17/2010,M05_2010,2010年05月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W20,20周
20100521,2010年05月21日,W20_2010,05/17/2010,M05_2010,2010年05月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W20,20周
20100522,2010年05月22日,W20_2010,05/17/2010,M05_2010,2010年05月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W20,20周
20100523,2010年05月23日,W20_2010,05/17/2010,M05_2010,2010年05月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W20,20周
20100524,2010年05月24日,W21_2010,05/24/2010,M05_2010,2010年05月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W21,21周
20100525,2010年05月25日,W21_2010,05/24/2010,M05_2010,2010年05月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W21,21周
20100526,2010年05月26日,W21_2010,05/24/2010,M05_2010,2010年05月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W21,21周
20100527,2010年05月27日,W21_2010,05/24/2010,M05_2010,2010年05月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W21,21周
20100528,2010年05月28日,W21_2010,05/24/2010,M05_2010,2010年05月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W21,21周
20100529,2010年05月29日,W21_2010,05/24/2010,M05_2010,2010年05月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W21,21周
20100530,2010年05月30日,W21_2010,05/24/2010,M05_2010,2010年05月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W21,21周
20100531,2010年05月31日,W22_2010,05/31/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W22,22周
20100601,2010年06月01日,W22_2010,05/31/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W22,22周
20100602,2010年06月02日,W22_2010,05/31/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W22,22周
20100603,2010年06月03日,W22_2010,05/31/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W22,22周
20100604,2010年06月04日,W22_2010,05/31/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W22,22周
20100605,2010年06月05日,W22_2010,05/31/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W22,22周
20100606,2010年06月06日,W22_2010,05/31/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W22,22周
20100607,2010年06月07日,W23_2010,06/07/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W23,23周
20100608,2010年06月08日,W23_2010,06/07/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W23,23周
20100609,2010年06月09日,W23_2010,06/07/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W23,23周
20100610,2010年06月10日,W23_2010,06/07/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W23,23周
20100611,2010年06月11日,W23_2010,06/07/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W23,23周
20100612,2010年06月12日,W23_2010,06/07/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W23,23周
20100613,2010年06月13日,W23_2010,06/07/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W23,23周
20100614,2010年06月14日,W24_2010,06/14/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W24,24周
20100615,2010年06月15日,W24_2010,06/14/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W24,24周
20100616,2010年06月16日,W24_2010,06/14/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W24,24周
20100617,2010年06月17日,W24_2010,06/14/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W24,24周
20100618,2010年06月18日,W24_2010,06/14/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W24,24周
20100619,2010年06月19日,W24_2010,06/14/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W24,24周
20100620,2010年06月20日,W24_2010,06/14/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W24,24周
20100621,2010年06月21日,W25_2010,06/21/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W25,25周
20100622,2010年06月22日,W25_2010,06/21/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W25,25周
20100623,2010年06月23日,W25_2010,06/21/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W25,25周
20100624,2010年06月24日,W25_2010,06/21/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W25,25周
20100625,2010年06月25日,W25_2010,06/21/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W25,25周
20100626,2010年06月26日,W25_2010,06/21/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W25,25周
20100627,2010年06月27日,W25_2010,06/21/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W25,25周
20100628,2010年06月28日,W26_2010,06/28/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W26,26周
20100629,2010年06月29日,W26_2010,06/28/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W26,26周
20100630,2010年06月30日,W26_2010,06/28/2010,M06_2010,2010年06月,Q02_2010,2010年02季度,H01_2010,2010上半年,Y2010,2010年,W26,26周
